entryNumber, fileId, fileName, subject, dish, startTimeSeconds, endTimeSeconds, startFrame, endFrame, activity, tool, toolProperties, ingredients, ingredientsProperties, containers, containersProperties, containersSource, containersDestination, className
1, 1, s07-d72-cam-002, 7, 72, 6.632, 8.299, 194, 243, enterV, ,,,,,,,,enterV
2, 1, s07-d72-cam-002, 7, 72, 9.205, 14.115, 270, 414, take outV, hand,,bottle,beer ,fridge,,fridge,,take outVhandbottlefridge
3, 1, s07-d72-cam-002, 7, 72, 15.464, 24.665, 454, 725, take outV, hand,,glass-mug,,cupboard,,cupboard,counter,take outVhandglass mugcupboardcounter
4, 1, s07-d72-cam-002, 7, 72, 26.042, 29.387, 765, 863, take outV, hand,,cap-opener,,drawer,,drawer,,take outVhandcap openerdrawer
5, 1, s07-d72-cam-002, 7, 72, 32.448, 38.503, 953, 1131, open capV, cap-opener,,bottle,beer ,,,,,open capVcap openerbottle
6, 1, s07-d72-cam-002, 7, 72, 40.826, 56.632, 1200, 1664, pourV, bottle,beer ,beer,,glass-mug,,glass-mug,,pourVbottlebeerglass mug
7, 2, s08-d02-cam-002, 8, 2, 1.564, 2.999, 45, 88, enterV, ,,,,,,,,enterV
8, 2, s08-d02-cam-002, 8, 2, 4.115, 10.34, 120, 303, take outV, hand,,cucumber,,fridge,,fridge,counter,take outVhandcucumberfridgecounter
9, 2, s08-d02-cam-002, 8, 2, 12.21, 14.931, 358, 438, take outV, hand,,tomato,,fridge,,fridge,counter,take outVhandtomatofridgecounter
10, 2, s08-d02-cam-002, 8, 2, 15.034, 19.047, 441, 559, closeV, hand,,,,fridge,,fridge,,closeVhandfridge
11, 2, s08-d02-cam-002, 8, 2, 19.115, 21.428, 561, 629, moveV, hand,,cucumber,,counter,,counter,counter,moveVhandcucumbercountercounter
12, 2, s08-d02-cam-002, 8, 2, 21.938, 29.285, 644, 860, take outV, hand,,knife,,drawer,,drawer,counter,take outVhandknifeside peelerdrawercounter
13, 2, s08-d02-cam-002, 8, 2, 29.625, 34.205, 870, 1005, take outV, hand,,cutting-board,,drawer,,drawer,counter,take outVhandcutting boarddrawercounter
14, 2, s08-d02-cam-002, 8, 2, 36.564, 39.625, 1074, 1164, cut apartV, knife,,cucumber,,counter,,counter,,cut apartVknifecucumbercounter
15, 2, s08-d02-cam-002, 8, 2, 39.931, 47.551, 1173, 1397, put inV, hand,,cucumber,half ,counter,,counter,fridge,put inVhandcucumbercounterfridge
16, 2, s08-d02-cam-002, 8, 2, 48.775, 79.856, 1433, 2347, peelV, side-peeler,,cucumber,,,,,,peelVside peelercucumber
17, 2, s08-d02-cam-002, 8, 2, 80.476, 83.049, 2365, 2441, cut off endsV, knife,,cucumber,peeled ,,,,,cut off endsVknifecucumber
18, 2, s08-d02-cam-002, 8, 2, 83.621, 85.816, 2458, 2522, washV, hand,,cucumber,peeled ,,,,,washVhandcucumber
19, 2, s08-d02-cam-002, 8, 2, 85.816, 89.931, 2522, 2643, shakeV, hand,,cucumber,peeled ,,,,,shakeVhandcucumber
20, 2, s08-d02-cam-002, 8, 2, 90.34, 96.462, 2655, 2835, take outV, hand,,bowl,,drawer,,drawer,counter,take outVhandbowldrawercounter
21, 2, s08-d02-cam-002, 8, 2, 100.236, 109.103, 2946, 3207, cut apartV, knife,,cucumber,peeled ,,,,,cut apartVknifecucumber
22, 2, s08-d02-cam-002, 8, 2, 109.22, 136.122, 3211, 4001, cut diceV, knife,,cucumber,peeled ,,,,,cut diceVknifecucumber
23, 2, s08-d02-cam-002, 8, 2, 136.122, 138.299, 4001, 4065, scratch offV, hand,,cucumber,peeled diced ,knife,,knife,bowl,scratch offVhandcucumberknifebowl
24, 2, s08-d02-cam-002, 8, 2, 138.299, 140.374, 4065, 4126, cutV, knife,,cucumber,peeled  ,,,,,cutVknifecucumber
25, 2, s08-d02-cam-002, 8, 2, 140.646, 152.721, 4134, 4489, cut diceV, knife,,cucumber,peeled ,,,,,cut diceVknifecucumber
26, 2, s08-d02-cam-002, 8, 2, 152.721, 155.34, 4489, 4566, pull apartV, hand,,cucumber,peeled diced ,,,,,pull apartVhandcucumber
27, 2, s08-d02-cam-002, 8, 2, 159.424, 163.401, 4687, 4803, washV, hand,,tomato,,,,,,washVhandtomato
28, 2, s08-d02-cam-002, 8, 2, 163.979, 165.034, 4820, 4851, shakeV, hand,,tomato,,,,,,shakeVhandtomato
29, 2, s08-d02-cam-002, 8, 2, 166.054, 167.585, 4881, 4926, cut apartV, knife,,tomato,,cutting-board,,cutting-board,,cut apartVknifetomatocutting board
30, 2, s08-d02-cam-002, 8, 2, 168.895, 172.619, 4965, 5074, sliceV, knife,,tomato,half ,cutting-board,,cutting-board,,sliceVknifetomatocutting board
31, 2, s08-d02-cam-002, 8, 2, 172.693, 176.369, 5077, 5185, cut diceV, knife,,tomato,sliced ,cutting-board,,cutting-board,,cut diceVknifetomatocutting board
